Landscape;Category;Transect_type;Aglais urticae;Anthocharis cardamines;Aphantopus hyperantus;Argynnis adippe;Argynnis aglaja;Argynnis niobe;Argynnis paphia;Aricia artaxerxes;Boloria euphrosyne;Boloria selene;Brenthis ino;Callophrys rubi;Carterocephalus silvicola;Celastrina argiolus;Coenonympha arcania;Coenonympha pamphilus;Cupido minimus;Erebia ligea;Erynnis tages;Glaucopsyche alexis;Gonepteryx rhamni;Hesperia comma;Inachis io;Issoria lathonia;Lasiommata maera;Lasiommata megera;Lasiommata petropolitana;Leptidea sinapis/reali;Limenitis populi;Lycaena hippothoe;Lycaena phlaeas;Maniola jurtina;Melitaea athalia;Nymphalis antiopa;Ochlodes sylvanus;Pararge aegeria;Pieris brassicae;Pieris napi;Pieris rapae;Plebejus argus;Plebejus idas;Plebejus optilete;Polygonia c-album;Polyommatus amandus;Polyommatus icarus;Polyommatus semiargus;Thecla betulae;Thymelicus lineola;Vanessa atalanta;Vanessa cardui;Zygaena filipendulae;Zygaena lonicerae;Zygaena viciae
6437;NoPL.LRD;Pasture;1;0;5;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;1;2;0;2;0;0;0;0;0;0;1;0;0;3;0;0;0;2;5;1;0;0;0;0;1;2;0;0;3;0;0;0;0;0
6437;NoPL.LRD;Small road;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6836;NoPL.HRD;Between fields;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
6836;NoPL.HRD;Big road;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6836;NoPL.HRD;Pasture;0;0;12;0;0;0;0;0;0;0;0;0;0;0;3;2;0;0;0;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0
6836;NoPL.HRD;Small road;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7073;NoPL.LRD;Between fields;2;0;23;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
7073;NoPL.LRD;Big road;0;0;7;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0
7073;NoPL.LRD;Pasture;0;0;36;0;0;0;0;0;0;0;1;0;0;0;11;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;0;0;0;0;0;0;0;8;0;0;0;0;3
7073;NoPL.LRD;Small road;0;0;31;0;4;0;2;0;0;1;0;0;0;0;9;0;0;0;0;1;5;0;3;1;4;0;0;0;0;0;0;0;0;0;0;0;1;8;0;0;0;0;1;2;0;0;1;3;0;0;0;0;3
