Landscape;Category;Transect_type;Species;Indiv
5041;NoPL.HRD;Pasture;Pieris brassicae;1
5041;NoPL.HRD;Pasture;Polyommatus amandus;1
5041;NoPL.HRD;Pasture;Polyommatus icarus;1
5041;NoPL.HRD;Pasture;Polyommatus semiargus;2
5041;NoPL.HRD;Pasture;Thymelicus lineola;3
5041;NoPL.HRD;Small road;Aglais urticae;1
5041;NoPL.HRD;Small road;Aphantopus hyperantus;8
5041;NoPL.HRD;Small road;Argynnis aglaja;1
5041;NoPL.HRD;Small road;Coenonympha arcania;1
5041;NoPL.HRD;Small road;Pieris napi;1
5166;NoPL.LRD;Between fields;Aglais urticae;8
5166;NoPL.LRD;Between fields;Aphantopus hyperantus;18
5166;NoPL.LRD;Between fields;Argynnis aglaja;1
5166;NoPL.LRD;Between fields;Aricia artaxerxes;1
5166;NoPL.LRD;Between fields;Coenonympha arcania;5
5166;NoPL.LRD;Between fields;Gonepteryx rhamni;8
5166;NoPL.LRD;Between fields;Inachis io;10
5166;NoPL.LRD;Between fields;Pieris napi;16
5166;NoPL.LRD;Between fields;Polyommatus semiargus;5
5166;NoPL.LRD;Between fields;Thymelicus lineola;3
5166;NoPL.LRD;Big road;Aphantopus hyperantus;9
5166;NoPL.LRD;Big road;Argynnis aglaja;2
5166;NoPL.LRD;Big road;Coenonympha arcania;6
5166;NoPL.LRD;Big road;Inachis io;1
5166;NoPL.LRD;Big road;Pieris napi;3
5166;NoPL.LRD;Big road;Polyommatus amandus;2
5166;NoPL.LRD;Big road;Polyommatus semiargus;2
5166;NoPL.LRD;Big road;Thymelicus lineola;1
5166;NoPL.LRD;Pasture;Aglais urticae;1
5166;NoPL.LRD;Pasture;Aphantopus hyperantus;7
5166;NoPL.LRD;Pasture;Coenonympha arcania;2
5166;NoPL.LRD;Pasture;Coenonympha pamphilus;2
5166;NoPL.LRD;Pasture;Lycaena phlaeas;1
5166;NoPL.LRD;Pasture;Polyommatus amandus;1
5166;NoPL.LRD;Pasture;Polyommatus icarus;2
5166;NoPL.LRD;Small road;Aglais urticae;1
5166;NoPL.LRD;Small road;Aphantopus hyperantus;2
5166;NoPL.LRD;Small road;Coenonympha arcania;2
5166;NoPL.LRD;Small road;Gonepteryx rhamni;1
5166;NoPL.LRD;Small road;Inachis io;4
5166;NoPL.LRD;Small road;Pieris brassicae;1
5166;NoPL.LRD;Small road;Pieris napi;7
5166;NoPL.LRD;Small road;Plebejus idas;1
5166;NoPL.LRD;Small road;Polyommatus amandus;2
5166;NoPL.LRD;Small road;Thymelicus lineola;3
5561;PL.LRD;Big road;Aglais urticae;1
5561;PL.LRD;Big road;Aphantopus hyperantus;9
5561;PL.LRD;Big road;Coenonympha arcania;8
